Using device: cuda
Document table: docs
Document id column: id
Document text column: text
Loaded queries: 808731
Trainable parameters: 335143938
Total model parameters: 335143938
Trainable percentage: 100.0
Batch size: 8
Accumulation steps: 16
Effective batch size: 128
Step 15800/100000 | loss = 0.1595
Step 15900/100000 | loss = 0.1486
Step 16000/100000 | loss = 0.1787
Step 16100/100000 | loss = 0.1559
Step 16200/100000 | loss = 0.1599
Step 16300/100000 | loss = 0.1753
Step 16400/100000 | loss = 0.1443
Step 16500/100000 | loss = 0.1675
Step 16600/100000 | loss = 0.1926
Step 16700/100000 | loss = 0.1294
Step 16800/100000 | loss = 0.1124
Step 16900/100000 | loss = 0.1393
Step 17000/100000 | loss = 0.1558
Step 17100/100000 | loss = 0.1674
Step 17200/100000 | loss = 0.1203
Step 17300/100000 | loss = 0.1512
Step 17400/100000 | loss = 0.1455
Step 17500/100000 | loss = 0.1292
Step 17600/100000 | loss = 0.1601
Step 17700/100000 | loss = 0.1585
Step 17800/100000 | loss = 0.1802
Step 17900/100000 | loss = 0.1633
Step 18000/100000 | loss = 0.1367
Step 18100/100000 | loss = 0.1598
Step 18200/100000 | loss = 0.1370
Step 18300/100000 | loss = 0.1575
Step 18400/100000 | loss = 0.1499
Step 18500/100000 | loss = 0.1230
Step 18600/100000 | loss = 0.1533
Step 18700/100000 | loss = 0.1405
Step 18800/100000 | loss = 0.1717
Step 18900/100000 | loss = 0.1364
Step 19000/100000 | loss = 0.1560
Step 19100/100000 | loss = 0.1370
Step 19200/100000 | loss = 0.1273
Step 19300/100000 | loss = 0.1652
Step 19400/100000 | loss = 0.1391
Step 19500/100000 | loss = 0.1739
Step 19600/100000 | loss = 0.1065
Step 19700/100000 | loss = 0.1406
Step 19800/100000 | loss = 0.1245
Step 19900/100000 | loss = 0.1431
Step 20000/100000 | loss = 0.1389
Saved checkpoint at step 20000: outputs/full_monobert/latest/checkpoint.pt
Step 20100/100000 | loss = 0.1364
Step 20200/100000 | loss = 0.1631
Step 20300/100000 | loss = 0.1449
Step 20400/100000 | loss = 0.1232
Step 20500/100000 | loss = 0.1363
Step 20600/100000 | loss = 0.1382
Step 20700/100000 | loss = 0.1375
Step 20800/100000 | loss = 0.1596
Step 20900/100000 | loss = 0.1254
Step 21000/100000 | loss = 0.1478
Step 21100/100000 | loss = 0.1502
Step 21200/100000 | loss = 0.1608
Step 21300/100000 | loss = 0.1305
Step 21400/100000 | loss = 0.1542
Step 21500/100000 | loss = 0.1269
Step 21600/100000 | loss = 0.1760
Step 21700/100000 | loss = 0.1446
Step 21800/100000 | loss = 0.1140
Step 21900/100000 | loss = 0.1211
Step 22000/100000 | loss = 0.1364
Step 22100/100000 | loss = 0.1381
Step 22200/100000 | loss = 0.1313
Step 22300/100000 | loss = 0.1306
Step 22400/100000 | loss = 0.1511
Step 22500/100000 | loss = 0.1231
Step 22600/100000 | loss = 0.1058
Step 22700/100000 | loss = 0.1366
Step 22800/100000 | loss = 0.1458
Step 22900/100000 | loss = 0.1618
Step 23000/100000 | loss = 0.1341
Step 23100/100000 | loss = 0.1579
Step 23200/100000 | loss = 0.1352
Step 23300/100000 | loss = 0.1273
Step 23400/100000 | loss = 0.1197
Step 23500/100000 | loss = 0.1855
Step 23600/100000 | loss = 0.1422
Step 23700/100000 | loss = 0.1371
Step 23800/100000 | loss = 0.1181
Step 23900/100000 | loss = 0.1329
Step 24000/100000 | loss = 0.1243
Step 24100/100000 | loss = 0.1359
Step 24200/100000 | loss = 0.1564
Step 24300/100000 | loss = 0.1195
Step 24400/100000 | loss = 0.1426
Step 24500/100000 | loss = 0.1666
Step 24600/100000 | loss = 0.1210
Step 24700/100000 | loss = 0.1289
Step 24800/100000 | loss = 0.1536
Step 24900/100000 | loss = 0.1459
Step 25000/100000 | loss = 0.1586
Saved checkpoint at step 25000: outputs/full_monobert/latest/checkpoint.pt
Step 25100/100000 | loss = 0.1545
Step 25200/100000 | loss = 0.1636
Step 25300/100000 | loss = 0.1511
Step 25400/100000 | loss = 0.1180
Step 25500/100000 | loss = 0.1185
Step 25600/100000 | loss = 0.1308
Step 25700/100000 | loss = 0.1296
Step 25800/100000 | loss = 0.1395
Step 25900/100000 | loss = 0.1278
Step 26000/100000 | loss = 0.1558
Step 26100/100000 | loss = 0.1719
Step 26200/100000 | loss = 0.1255
Step 26300/100000 | loss = 0.1352
Step 26400/100000 | loss = 0.1064
Step 26500/100000 | loss = 0.1242
Step 26600/100000 | loss = 0.1305
Step 26700/100000 | loss = 0.1172
Step 26800/100000 | loss = 0.1256
Step 26900/100000 | loss = 0.1256
Step 27000/100000 | loss = 0.1503
Step 27100/100000 | loss = 0.1241
Step 27200/100000 | loss = 0.1317
Step 27300/100000 | loss = 0.1460
Step 27400/100000 | loss = 0.1257
Step 27500/100000 | loss = 0.1310
Step 27600/100000 | loss = 0.1166
Step 27700/100000 | loss = 0.1606
Step 27800/100000 | loss = 0.1348
Step 27900/100000 | loss = 0.1481
Step 28000/100000 | loss = 0.1246
Step 28100/100000 | loss = 0.1286
Step 28200/100000 | loss = 0.1540
Step 28300/100000 | loss = 0.1328
Step 28400/100000 | loss = 0.1309
Step 28500/100000 | loss = 0.1305
Step 28600/100000 | loss = 0.1295
Step 28700/100000 | loss = 0.1626
Step 28800/100000 | loss = 0.1345
Step 28900/100000 | loss = 0.1412
Step 29000/100000 | loss = 0.1524
Step 29100/100000 | loss = 0.1610
Step 29200/100000 | loss = 0.1162
Step 29300/100000 | loss = 0.1401
Step 29400/100000 | loss = 0.1103
Step 29500/100000 | loss = 0.0960
Step 29600/100000 | loss = 0.1522
Step 29700/100000 | loss = 0.1326
Step 29800/100000 | loss = 0.1247
Step 29900/100000 | loss = 0.1313
Step 30000/100000 | loss = 0.1214
Saved checkpoint at step 30000: outputs/full_monobert/latest/checkpoint.pt
