Using device: cuda
Document table: docs
Document id column: id
Document text column: text
Loaded queries: 808731
Trainable parameters: 335143938
Total model parameters: 335143938
Trainable percentage: 100.0
Batch size: 8
Accumulation steps: 16
Effective batch size: 128
Resumed from: outputs/full_monobert/latest/checkpoint.pt
Start step: 40000
Step 40100/100000 | loss = 0.1261
Step 40200/100000 | loss = 0.1205
Step 40300/100000 | loss = 0.1181
Step 40400/100000 | loss = 0.1148
Step 40500/100000 | loss = 0.1355
Step 40600/100000 | loss = 0.1141
Step 40700/100000 | loss = 0.1036
Step 40800/100000 | loss = 0.1384
Step 40900/100000 | loss = 0.1447
Step 41000/100000 | loss = 0.1313
Step 41100/100000 | loss = 0.1186
Step 41200/100000 | loss = 0.1250
Step 41300/100000 | loss = 0.1100
Step 41400/100000 | loss = 0.1462
Step 41500/100000 | loss = 0.0959
Step 41600/100000 | loss = 0.1086
Step 41700/100000 | loss = 0.1294
Step 41800/100000 | loss = 0.0875
Step 41900/100000 | loss = 0.1249
Step 42000/100000 | loss = 0.1333
Step 42100/100000 | loss = 0.1424
Step 42200/100000 | loss = 0.1289
Step 42300/100000 | loss = 0.1278
Step 42400/100000 | loss = 0.0983
Step 42500/100000 | loss = 0.1331
Step 42600/100000 | loss = 0.1234
Step 42700/100000 | loss = 0.1266
Step 42800/100000 | loss = 0.1326
Step 42900/100000 | loss = 0.0957
Step 43000/100000 | loss = 0.1244
Step 43100/100000 | loss = 0.0981
Step 43200/100000 | loss = 0.0960
Step 43300/100000 | loss = 0.0964
Step 43400/100000 | loss = 0.1428
Step 43500/100000 | loss = 0.1069
Step 43600/100000 | loss = 0.1231
Step 43700/100000 | loss = 0.1347
Step 43800/100000 | loss = 0.1028
Step 43900/100000 | loss = 0.1348
Step 44000/100000 | loss = 0.1220
Step 44100/100000 | loss = 0.1138
Step 44200/100000 | loss = 0.1135
Step 44300/100000 | loss = 0.1048
Step 44400/100000 | loss = 0.1222
Step 44500/100000 | loss = 0.1226
Step 44600/100000 | loss = 0.0888
Step 44700/100000 | loss = 0.1304
Step 44800/100000 | loss = 0.1002
Step 44900/100000 | loss = 0.1031
Step 45000/100000 | loss = 0.1321
Saved checkpoint at step 45000: outputs/full_monobert/latest/checkpoint.pt
Step 45100/100000 | loss = 0.0955
Step 45200/100000 | loss = 0.1078
Step 45300/100000 | loss = 0.1057
Step 45400/100000 | loss = 0.0844
Step 45500/100000 | loss = 0.0956
Step 45600/100000 | loss = 0.1016
Step 45700/100000 | loss = 0.1304
Step 45800/100000 | loss = 0.1465
Step 45900/100000 | loss = 0.0998
Step 46000/100000 | loss = 0.1464
Step 46100/100000 | loss = 0.1057
Step 46200/100000 | loss = 0.0935
Step 46300/100000 | loss = 0.0676
Step 46400/100000 | loss = 0.0993
Step 46500/100000 | loss = 0.1126
Step 46600/100000 | loss = 0.1236
Step 46700/100000 | loss = 0.0866
Step 46800/100000 | loss = 0.0811
Step 46900/100000 | loss = 0.0865
Step 47000/100000 | loss = 0.0777
Step 47100/100000 | loss = 0.0785
Step 47200/100000 | loss = 0.0930
Step 47300/100000 | loss = 0.0985
Step 47400/100000 | loss = 0.1057
Step 47500/100000 | loss = 0.1253
Step 47600/100000 | loss = 0.1022
Step 47700/100000 | loss = 0.1187
Step 47800/100000 | loss = 0.1251
Step 47900/100000 | loss = 0.1270
Step 48000/100000 | loss = 0.1060
Step 48100/100000 | loss = 0.0895
Step 48200/100000 | loss = 0.1140
Step 48300/100000 | loss = 0.1300
Step 48400/100000 | loss = 0.1037
Step 48500/100000 | loss = 0.0845
Step 48600/100000 | loss = 0.0819
Step 48700/100000 | loss = 0.1160
Step 48800/100000 | loss = 0.0991
Step 48900/100000 | loss = 0.0999
Step 49000/100000 | loss = 0.1387
Step 49100/100000 | loss = 0.0696
Step 49200/100000 | loss = 0.0975
Step 49300/100000 | loss = 0.0922
Step 49400/100000 | loss = 0.0896
