approach,dataset,NDCG@10,MRR@10,MAP@1000,Recall@100,evaluated_queries
BM25 PyTerrier,msmarco-passage/trec-dl-2019/judged,0.41383190880467624,0.7943798449612403,0.3699135526163687,0.4422103905813023,43
BM25 PyTerrier,msmarco-passage/trec-dl-2020/judged,0.4474941650598954,0.8021017048794827,0.35867839869691737,0.5055609838969679,54
BM25 PyTerrier,msmarco-passage/dev/small,0.23018085555045628,0.1842737754127438,0.19360007635948123,0.6771848137535815,6980
BM25 PyTerrier,msmarco-passage/trec-dl-hard,0.2513337875363429,0.5195793650793651,0.18449700433329155,0.4007365181423779,50
